,polarity,subjectivity,normalized
2018-09-28,0.011801791203965116,0.23510697032436162,-0.5217391304347826
2018-09-29,0.027642506431931283,0.21168519165504326,-0.4935064935064935
2018-09-30,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-10-02,0.0,0.0,0.0
2018-10-03,0.0,0.0,0.0
2018-10-04,0.0,0.0,0.0
2018-10-05,0.0,0.0,0.0
2018-10-06,0.0,0.0,0.0
2018-10-07,0.0,0.0,0.0
2018-10-08,0.0,0.0,0.0
2018-10-09,0.02706466610312765,0.3378702921010613,0.07692307692307693
2018-10-10,0.010385674931129482,0.35072084481175403,-0.18181818181818182
2018-10-11,0.04814642601600668,0.3251787932474529,-0.16666666666666666
2018-10-12,0.09015121836398435,0.3082881525487909,0.0
2018-10-13,-0.05,0.4,0.0
2018-10-14,0.18642825998941104,0.4667566745804157,1.0
2018-10-15,0.0,0.0,0.0
2018-10-16,0.03295815295815296,0.2557864357864358,0.0
2018-10-17,0.06538442469810893,0.3387926695526695,0.2
2018-10-18,0.11238615035490036,0.300137729471611,0.0
2018-10-19,0.048698979591836736,0.21711734693877552,0.0
2018-10-20,0.0,0.0,0.0
2018-10-21,0.03279175685425686,0.32626998001998003,-1.0
2018-10-22,0.00688271604938271,0.28565972222222225,-0.25
2018-10-23,0.11517583835567304,0.30770267110029514,0.3333333333333333
2018-10-24,0.08463376057493706,0.26828736241971535,0.3333333333333333
2018-10-25,0.1146551724137931,0.33477011494252873,1.0
2018-10-26,-0.05285714285714286,0.17714285714285713,-0.8
2018-10-27,0.024555777555777553,0.3036315906315907,0.6666666666666666
2018-10-28,-0.05,0.25277777777777777,0.0
2018-10-29,0.0,0.0,-1.0
2018-10-30,0.0752789415352918,0.37208581373320676,-0.25
2018-10-31,0.0,0.0,0.0
2018-11-01,0.02152415790877754,0.2917437736657661,0.0
2018-11-02,0.03214285714285715,0.14785714285714288,-0.14285714285714285
2018-11-03,0.032027914614121515,0.22187192118226598,0.0
2018-11-04,0.0,0.0,-1.0
2018-11-05,-0.00905663780663781,0.22045274170274168,-0.6666666666666666
2018-11-06,-0.008452380952380947,0.3322354497354498,0.0
2018-11-07,0.0832756486432957,0.24447031590413942,0.0
2018-11-08,0.05431818181818181,0.20085227272727274,0.0
2018-11-09,0.15749811782420478,0.4884857895727461,0.3333333333333333
2018-11-10,0.07225877192982456,0.20537280701754387,-0.5
2018-11-11,0.0,0.0,0.0
2018-11-12,0.03667063095634524,0.3966525537954109,-0.3333333333333333
2018-11-13,0.08405007993044504,0.36099617005447165,0.25
2018-11-14,0.20856859768318106,0.49366321949655284,1.0
2018-11-15,0.0,0.0,0.0
2018-11-16,0.08253607551006618,0.28513275087576323,0.2
2018-11-17,-0.00843253968253968,0.11311507936507936,-0.8333333333333334
2018-11-18,0.0,0.0,0.0
2018-11-19,0.21956067370129873,0.4781678589996605,0.3333333333333333
2018-11-20,0.0,0.0,-1.0
2018-11-21,-0.0026289424860853395,0.12305442176870751,-0.4
2018-11-22,0.07906585989426666,0.3399475616702992,0.16666666666666666
2018-11-23,0.11784547897558846,0.3549711800263359,0.45454545454545453
2018-11-24,0.09727347705999694,0.24659800010229657,0.42857142857142855
2018-11-25,0.21945943304007817,0.44501955034213103,1.0
2018-11-26,0.18521171203078898,0.38052896843585826,0.45
2018-11-27,0.07468855218855218,0.2767352092352093,0.0
2018-11-28,0.06835702129995608,0.21802944298052998,-0.4
2018-11-29,0.024726783131137763,0.2748381080561124,0.09090909090909091
2018-11-30,0.0,0.0,0.0
2018-12-01,0.005882295243793499,0.45247823703267953,-0.2
2018-12-02,-0.022222222222222223,0.22222222222222224,0.0
2018-12-03,0.08521072593441018,0.23724065487223384,0.2
2018-12-04,0.046828805660488845,0.2532184096788056,-0.2
2018-12-05,0.08627457234887576,0.24403915695730713,0.2
2018-12-06,-0.024367132867132872,0.14526340326340326,-0.2
2018-12-07,0.013333333333333336,0.21851851851851853,-1.0
2018-12-08,0.12653439153439153,0.4415343915343916,0.3333333333333333
2018-12-09,0.16875207636853598,0.3782755684619039,1.0
2018-12-10,-0.03222368172652264,0.2511969617083254,-0.125
2018-12-11,0.07524221809936095,0.3226138940424655,-0.3333333333333333
2018-12-12,0.11628454651040018,0.3079333995002287,0.2
2018-12-13,0.03692295199579034,0.22415003621065654,-0.125
2018-12-14,0.018543986417120743,0.28177355167404916,-0.2
2018-12-15,0.0,0.0,0.0
2018-12-16,-0.0439752351557907,0.26448301903857463,0.0
2018-12-17,0.017661027794956367,0.30698627430770287,0.25
2018-12-18,-0.2015899070065737,0.46434924643257974,0.0
2018-12-19,-0.08703703703703704,0.32301587301587303,-0.16666666666666666
2018-12-20,-0.2833333333333334,0.3958333333333333,-0.3333333333333333
2018-12-21,0.0,0.0,-1.0
2018-12-22,-0.075,0.09166666666666666,-0.5
2018-12-23,-0.03295414462081128,0.18537037037037035,-0.4444444444444444
2018-12-24,0.01447806045355652,0.3040779111714765,-0.16666666666666666
2018-12-25,0.0,0.0,0.0
2018-12-26,0.0,0.0,-1.0
2018-12-27,-0.017061387686387684,0.262006512006512,0.0
2018-12-28,-0.0011634199134199124,0.12082431457431458,-1.0
2018-12-29,0.14065613390746373,0.37031408308004055,1.0
2018-12-30,0.0,0.0,-1.0
2018-12-31,0.0,0.0,0.0
2019-01-01,0.043397435897435895,0.34423076923076923,-1.0
2019-01-02,0.0,0.0,-1.0
2019-01-03,-0.018962148962148963,0.19078754578754575,-0.25
2019-01-04,-0.25029761904761905,0.34226190476190477,-0.25
