,polarity,subjectivity,normalized
2018-09-20,-0.013492063492063491,0.15698412698412698,0.0
2018-09-21,0.05704875318494621,0.3648854125332462,0.0
2018-09-22,0.27652943121693124,0.492119708994709,1.0
2018-09-23,,,
2018-09-24,0.043255427529863624,0.3065581024560529,0.21428571428571427
2018-09-25,0.024852500813070135,0.3748094385158308,0.25
2018-09-26,0.08012098321991659,0.34862922334548363,0.42105263157894735
2018-09-27,0.10165898136038652,0.40150494292765954,1.0
2018-09-28,0.07642806211221716,0.44449068375320866,0.4074074074074074
2018-09-29,0.0,0.0,-1.0
2018-09-30,,,
2018-10-01,,,
2018-10-02,0.14781657879884494,0.4164085063933346,0.6
2018-10-03,0.06248796827912414,0.36652074718714517,0.28
2018-10-04,0.030844766792347447,0.3590748498813015,0.5
2018-10-05,0.013721707155110962,0.36967318712139,0.09090909090909091
2018-10-06,-0.09722222222222222,0.43388888888888894,-0.6666666666666666
2018-10-07,,,
2018-10-08,0.15224768326566715,0.4859794926254964,0.5714285714285714
2018-10-09,0.03806391331236051,0.3757317423777052,-0.14285714285714285
2018-10-10,-0.013399151462588292,0.40746346266706673,0.058823529411764705
2018-10-11,0.05982136733408246,0.33196668750352143,0.2222222222222222
2018-10-12,0.15079264870931539,0.506018477617117,0.5
2018-10-13,0.04545454545454545,0.4515151515151515,-1.0
2018-10-14,0.0,0.0,-1.0
2018-10-15,,,
2018-10-16,,,
2018-10-17,,,
2018-10-18,,,
2018-10-19,,,
2018-10-20,,,
2018-10-21,,,
2018-10-22,,,
2018-10-23,0.075,0.4766666666666666,1.0
2018-10-24,0.06049623878310045,0.3904773701819656,0.21428571428571427
2018-10-25,0.05618391553309563,0.47121934062476806,0.36666666666666664
2018-10-26,0.041133178535110886,0.39013113462129917,0.16
2018-10-27,0.15911938938254727,0.2755525176577808,1.0
2018-10-28,,,
2018-10-29,0.10629164272598686,0.42883594095109945,0.875
2018-10-30,0.08392400984510355,0.40441250266132334,0.5454545454545454
2018-10-31,,,
2018-11-01,0.03064681583147494,0.3895108484739167,0.6666666666666666
2018-11-02,0.06821860418634078,0.4654594101561062,0.5
2018-11-03,0.08693149022694481,0.3950264003673094,1.0
2018-11-04,,,
2018-11-05,-0.000536477438630092,0.35605310584175554,0.2857142857142857
2018-11-06,0.11570105820105818,0.4041243386243386,0.6
2018-11-07,0.13039729773624326,0.3295187652583416,0.5
2018-11-08,0.07388098845598848,0.34952783189033193,0.2
2018-11-09,0.04342430588958366,0.4177054439901662,0.3333333333333333
2018-11-10,-0.07833333333333335,0.15833333333333333,0.0
2018-11-11,,,
2018-11-12,0.11865152224307628,0.4474570762045794,0.6666666666666666
2018-11-13,0.09608028081805664,0.47801981356816436,0.25
2018-11-14,-0.09542425456487957,0.5979246702102805,0.3076923076923077
2018-11-15,,,
2018-11-16,-0.041525212174844006,0.4489699311032586,-0.1
2018-11-17,-0.030555555555555558,0.46064814814814814,-1.0
2018-11-18,,,
2018-11-19,-0.006051794654294058,0.38580603097846544,0.0
2018-11-20,-0.03333333333333335,0.2875,-0.16666666666666666
2018-11-21,0.0030022378751192293,0.34532082324455204,0.2
2018-11-22,0.014217726717726718,0.304591242091242,0.5
2018-11-23,0.10403395426122697,0.4466467707376799,0.0
2018-11-24,,,
2018-11-25,,,
2018-11-26,0.06492666910361407,0.39830152010299064,0.6666666666666666
2018-11-27,-0.14786964791905502,0.5491241932635683,0.5
2018-11-28,0.07933781591267647,0.4640450841462022,0.625
2018-11-29,-0.08557968521544679,0.33859822664458433,0.3333333333333333
2018-11-30,,,
2018-12-01,,,
2018-12-02,,,
2018-12-03,0.0861189215082343,0.4718127286679391,0.75
2018-12-04,0.10858593160907723,0.3872835437719186,0.5555555555555556
2018-12-05,0.014797068527537285,0.4563840788840787,-1.0
2018-12-06,0.08743754688010402,0.38701067829336033,0.2
2018-12-07,0.06642626722172178,0.43685947005346365,0.0
2018-12-08,,,
2018-12-09,0.11565934065934065,0.40116431187859763,1.0
2018-12-10,0.0589186606108776,0.3940843044970403,0.25
2018-12-11,0.04271885515313276,0.40635926581425463,0.0
2018-12-12,0.15409739775753728,0.48701690135085574,0.8571428571428571
2018-12-13,0.05203447455094332,0.41935487913834374,0.2727272727272727
2018-12-14,0.12923745346816495,0.49750866878225136,1.0
2018-12-15,,,
2018-12-16,,,
2018-12-17,0.036020709162013505,0.3795735256870522,0.3333333333333333
2018-12-18,0.1689289519528742,0.46590167162374096,1.0
2018-12-19,0.09845180044360707,0.4448525850809427,0.9
2018-12-20,0.04474142058535835,0.411636611362663,0.6666666666666666
2018-12-21,0.0735599475496174,0.4275689618331097,0.5555555555555556
2018-12-22,,,
2018-12-23,0.07744859307359307,0.5160984848484849,1.0
2018-12-24,0.24181109734563683,0.4501690661312372,0.8
2018-12-25,0.14524793388429752,0.3818870523415978,1.0
2018-12-26,0.08151140159981822,0.5084806026645741,0.3333333333333333
2018-12-27,0.030313040287885486,0.4378188675789294,0.0
2018-12-28,-0.010093118686868692,0.3119002525252525,0.5
2018-12-29,,,
2018-12-30,,,
2018-12-31,,,
2019-01-01,,,
2019-01-02,,,
2019-01-03,,,
2019-01-04,0.10187557063465354,0.4233890025678605,0.6
2019-01-05,,,
2019-01-06,,,
2019-01-07,0.08885425550059699,0.4910192652875578,0.0
2019-01-08,0.08584810982687696,0.4935616253746082,0.7096774193548387
2019-01-09,0.08613650402919064,0.43661561113267083,0.4166666666666667
2019-01-10,-0.026860269360269372,0.39623977873977884,0.0
2019-01-11,0.021144682901551026,0.38011087663354154,0.23076923076923078
