,polarity,subjectivity,normalized
2018-09-19,0.0008116883116883229,0.5723484848484848,-1.0
2018-09-20,0.020535714285714282,0.24910714285714286,0.5
2018-09-21,0.12687799337069228,0.37987932089000015,1.0
2018-09-22,0.0,0.0,0.0
2018-09-23,0.0,0.0,0.0
2018-09-24,0.13738553113553115,0.4693452380952381,1.0
2018-09-25,0.1301482371794872,0.30266426282051284,1.0
2018-09-26,0.07966582104273821,0.39218318608032443,1.0
2018-09-27,0.14419867698042763,0.4005480460751763,0.6666666666666666
2018-09-28,0.11346153846153845,0.22884615384615387,1.0
2018-09-29,0.0,0.0,0.0
2018-09-30,0.0,0.0,0.0
2018-10-01,0.10288684282640033,0.39484178649853974,0.75
2018-10-02,0.05400171045429666,0.2999165982484948,0.0
2018-10-03,0.07961650308978553,0.3920392584514722,1.0
2018-10-04,0.03785574067589999,0.4390515397025814,-0.2
2018-10-05,0.1010784561880671,0.33560829097559647,0.6666666666666666
2018-10-06,0.09384828078425639,0.3722609910414789,1.0
2018-10-07,0.0,0.0,0.0
2018-10-08,0.06576837468994333,0.40665151161474694,0.6666666666666666
2018-10-09,0.06593489440991457,0.3858633442839728,0.0
2018-10-10,0.14028799019607846,0.4144362745098039,1.0
2018-10-11,0.15752192332871848,0.36637405982943516,1.0
2018-10-12,0.081620800285573,0.34905154393289417,0.2
2018-10-13,0.0,0.0,0.0
2018-10-14,0.0,0.0,0.0
2018-10-15,0.0,0.0,0.0
2018-10-16,0.0950456349206349,0.4056040564373897,1.0
2018-10-17,0.1160249286667036,0.4276045581851878,0.7777777777777778
2018-10-18,0.07770270403112868,0.40838786266160687,0.6
2018-10-19,0.10337176963422265,0.4716616478063846,0.0
2018-10-20,-0.03428571428571429,0.22714285714285712,-1.0
2018-10-21,0.1,0.47708333333333336,1.0
2018-10-22,0.1149063059293411,0.301463124599981,1.0
2018-10-23,0.054518133718133716,0.28355834535834534,0.6666666666666666
2018-10-24,0.1335138142102307,0.35864385345453637,1.0
2018-10-25,0.1682452071737786,0.3627690166975881,1.0
2018-10-26,0.10336170773670773,0.30186059971774254,0.0
2018-10-27,0.0,0.0,0.0
2018-10-28,0.0,0.0,0.0
2018-10-29,0.054503764055650855,0.32710478416638245,0.0
2018-10-30,0.10336570014347794,0.3192090553479442,0.6
2018-10-31,0.0,0.0,0.0
2018-11-01,0.10742049361668929,0.39243271340849295,0.8
2018-11-02,0.05524710847925274,0.381173067294696,0.1111111111111111
2018-11-03,0.14394736842105266,0.33926065162907265,1.0
2018-11-04,0.0,0.0,0.0
2018-11-05,-0.07132813367894482,0.48382566691393014,0.7142857142857143
2018-11-06,0.10896014233586805,0.39508021569045937,0.8571428571428571
2018-11-07,0.07555512945919107,0.37284951017444024,1.0
2018-11-08,0.08317032311654614,0.43347651447337066,0.42857142857142855
2018-11-09,0.10874825786704671,0.4088198197592606,1.0
2018-11-10,0.0,0.0,0.0
2018-11-11,0.0,0.0,0.0
2018-11-12,0.11677874986091019,0.35842432124179374,1.0
2018-11-13,0.015138215319672695,0.3565661080195549,0.5
2018-11-14,0.0,0.0,0.0
2018-11-15,0.0,0.0,0.0
2018-11-16,0.025366768318670536,0.4188525644872974,-0.3333333333333333
2018-11-17,0.0,0.0,0.0
2018-11-18,0.0,0.0,0.0
2018-11-19,0.1341507070707071,0.4558431240981241,1.0
2018-11-20,0.044390005246664706,0.3597441087860152,0.0
2018-11-21,0.05651697388152497,0.3897357189540752,-0.2
2018-11-22,0.04437229437229437,0.5136715367965368,-0.5
2018-11-23,0.14344315245478026,0.48921188630490975,1.0
2018-11-24,0.0,0.0,0.0
2018-11-25,0.0,0.0,0.0
2018-11-26,0.10542107683209659,0.46934492800667915,1.0
2018-11-27,0.11653968253968254,0.3474007936507937,0.0
2018-11-28,-0.01039373325087611,0.5066769738198309,-1.0
2018-11-29,0.04309388528138527,0.4303025439973969,-1.0
2018-11-30,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2018-12-02,0.3102209595959596,0.4889772727272727,1.0
2018-12-03,0.07346592981947109,0.38213299779974663,0.5
2018-12-04,0.1161845361066191,0.43601352593855686,0.3333333333333333
2018-12-05,0.0715174277189024,0.40121064594048095,0.3333333333333333
2018-12-06,0.016090279546161903,0.3931564241858359,-0.3333333333333333
2018-12-07,0.0,0.0,0.0
2018-12-08,0.0,0.0,0.0
2018-12-09,0.0,0.0,0.0
2018-12-10,0.08398443432537073,0.36081589094545624,1.0
2018-12-11,0.08896624765608722,0.37021920568043565,1.0
2018-12-12,0.12723922902494328,0.5441043083900228,1.0
2018-12-13,0.16504637718725176,0.4084363672511094,1.0
2018-12-14,0.06407173716071593,0.3641961030206733,1.0
2018-12-15,0.0,0.0,0.0
2018-12-16,0.0,0.0,0.0
2018-12-17,0.13315461104552015,0.4643921115921116,1.0
2018-12-18,0.0355324074074074,0.3081374643874644,-1.0
2018-12-19,-0.013333333333333336,0.3466666666666667,-1.0
2018-12-20,0.09179124910868021,0.4446975354765412,1.0
2018-12-21,0.04352106390758632,0.4016032581711813,0.3333333333333333
2018-12-22,0.12299478570599263,0.4380279726659036,1.0
2018-12-23,0.0,0.0,0.0
2018-12-24,0.08712755735903177,0.4337692222046692,0.6
2018-12-25,0.0,0.0,0.0
2018-12-26,0.09461935606583532,0.46720989225853565,1.0
2018-12-27,0.016058326318742985,0.31123957832291166,0.6666666666666666
2018-12-28,0.049959016572652934,0.36533328960601685,0.0
2018-12-29,0.0,0.0,0.0
2018-12-30,0.0,0.0,0.0
2018-12-31,0.0,0.0,0.0
