Date,CLOSE
2009-12-03,2750.0
2009-12-11,2750.0
2010-01-08,2600.0
2010-01-14,2625.0
2010-01-21,2650.0
2010-01-29,2650.0
2010-02-11,2650.0
2010-02-18,2650.0
2010-02-25,2625.0
2010-03-04,2640.0
2010-03-11,2640.0
2010-03-19,2695.0
2010-03-25,2695.0
2010-04-01,2750.0
2010-04-09,2758.0
2010-04-16,2758.0
2010-04-29,2758.0
2010-05-06,2835.0
2010-05-13,2900.0
2010-05-19,3050.0
2010-05-27,3050.0
2010-06-03,2800.0
2010-06-10,2475.0
2010-06-16,2475.0
2010-06-24,2475.0
2010-07-01,2450.0
2010-07-07,2425.0
2010-07-16,2425.0
2010-07-22,2415.0
2010-07-29,2375.0
2010-08-06,2450.0
2010-08-12,2438.0
2010-08-19,2413.0
2010-09-02,2425.0
2010-09-08,2425.0
2010-09-16,2463.0
2010-09-24,2463.0
2010-09-30,2565.0
2010-10-07,2575.0
2010-10-22,2563.0
2010-11-04,2475.0
2010-11-12,2550.0
2010-11-26,2550.0
2010-12-17,2600.0
2011-01-14,2650.0
2011-01-21,2650.0
2011-01-27,2650.0
2011-02-04,2650.0
2011-02-14,2650.0
2011-02-18,2650.0
2011-03-04,2650.0
2011-03-10,2650.0
2011-03-18,2650.0
2011-03-25,2650.0
2011-04-01,2600.0
2011-04-15,2500.0
2011-04-26,2500.0
2011-05-06,2500.0
2011-05-13,2500.0
2011-05-20,2500.0
2011-05-30,2400.0
2011-06-03,2350.0
2011-06-14,2350.0
2011-06-24,2350.0
2011-07-19,2300.0
2011-07-29,2300.0
2011-08-12,2300.0
2011-10-24,2300.0
2011-12-05,2300.0
2011-12-16,2300.0
2012-02-24,2300.0
2012-03-19,2250.0
2012-03-26,2100.0
2012-04-04,2100.0
2012-04-10,2100.0
2012-04-27,2125.0
2012-05-18,2125.0
2012-06-08,2125.0
2012-10-26,2400.0
2013-08-16,2025.0
2013-10-25,2100.0
2014-06-09,2175.0
2014-07-21,2130.0
2014-09-22,2225.0
2014-10-24,2225.0
2014-11-03,2175.0
2014-11-12,2175.0
2014-11-17,2175.0
2014-11-27,2175.0
2014-12-03,2300.0
2014-12-09,2300.0
2015-01-26,2300.0
2015-02-05,2300.0
2015-04-07,2110.0
2015-11-27,2050.0
2015-12-10,2050.0
2016-01-15,2025.0
2016-01-29,1950.0
2016-02-19,1913.0
2016-03-04,1850.0
2016-03-18,1665.0
2016-05-16,1663.0
2016-06-20,1600.0
2016-07-27,1650.0
2016-09-16,1425.0
2016-10-27,1575.0
2017-01-03,1750.0
2017-01-30,1800.0
2017-02-20,1800.0
2017-03-10,1900.0
2017-04-21,1750.0
2017-08-01,1960.0
2017-09-01,2250.0
2017-10-05,2250.0
2017-10-26,2200.0
2017-11-10,2200.0
2018-01-18,2150.0
2018-02-06,2258.0
2018-02-23,2350.0
2018-03-21,2400.0
2018-04-11,2250.0
2018-05-07,2275.0
2018-06-13,2300.0
2018-07-03,2210.0
2018-08-20,2000.0
2018-10-26,1905.0
2019-01-22,1910.0
2019-06-28,1660.0
2019-08-09,1775.0
2019-10-15,1650.0
