,polarity,subjectivity,normalized
2018-09-19,0.017003367003367006,0.3264309764309764,-1.0
2018-09-20,0.21032327741702744,0.5921354617604618,1.0
2018-09-21,0.0,0.0,0.0
2018-09-22,0.13328787878787876,0.3875,1.0
2018-09-23,0.0,0.0,0.0
2018-09-24,0.2156081296154826,0.44974710338680923,1.0
2018-09-25,0.0,0.0,0.0
2018-09-26,0.13497009396209692,0.4408197793705288,1.0
2018-09-27,0.070778496545542,0.45324213454895274,0.75
2018-09-28,0.03952535559678416,0.48692408781694496,-1.0
2018-09-29,0.13999999999999999,0.3,1.0
2018-09-30,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-10-02,0.0,0.0,0.0
2018-10-03,0.12939483371523658,0.4057586952780411,1.0
2018-10-04,0.09255952380952381,0.3464285714285715,1.0
2018-10-05,0.0,0.0,0.0
2018-10-06,0.0,0.0,0.0
2018-10-07,0.0,0.0,0.0
2018-10-08,0.10998413843651936,0.48129407739526786,1.0
2018-10-09,0.13695406445406444,0.4454443241943243,1.0
2018-10-10,0.0,0.0,0.0
2018-10-11,0.15787559435100418,0.49982080760769276,1.0
2018-10-12,0.14240679217423405,0.37274640088593575,0.3333333333333333
2018-10-13,0.0,0.0,0.0
2018-10-14,0.0,0.0,0.0
2018-10-15,0.0,0.0,0.0
2018-10-16,0.07977382786704822,0.3726567218092642,1.0
2018-10-17,0.18121176983327114,0.48688051535770754,1.0
2018-10-18,0.19204545454545455,0.5369047619047619,1.0
2018-10-19,0.13519208415041747,0.4770259640051307,1.0
2018-10-20,0.0,0.0,0.0
2018-10-21,0.0,0.0,0.0
2018-10-22,0.12531922715527366,0.3997020025839793,1.0
2018-10-23,0.05524634827538057,0.40261529814271757,0.0
2018-10-24,0.121477010945699,0.4735643915703898,1.0
2018-10-25,0.06435307160258923,0.37344504892524927,0.6666666666666666
2018-10-26,0.04783976679001709,0.4472431042049316,0.3333333333333333
2018-10-27,-0.01481481481481482,0.5407407407407407,-1.0
2018-10-28,0.0,0.0,0.0
2018-10-29,0.2509334415584416,0.6105519480519481,1.0
2018-10-30,0.147100150051237,0.4878654479578392,1.0
2018-10-31,0.0,0.0,0.0
2018-11-01,0.14851134976134978,0.43313637751137746,1.0
2018-11-02,0.11653850008016675,0.4302820533376089,1.0
2018-11-03,0.06242424242424242,0.33141414141414133,1.0
2018-11-04,0.08420650110123794,0.421562466772993,1.0
2018-11-05,0.0,0.0,0.0
2018-11-06,0.1523102548752552,0.4733198547620126,1.0
2018-11-07,0.0,0.0,0.0
2018-11-08,0.14163666937869065,0.45912128375958167,0.3333333333333333
2018-11-09,0.0207212000962001,0.49522456709956714,-1.0
2018-11-10,0.0,0.0,0.0
2018-11-11,0.0,0.0,0.0
2018-11-12,0.20469178162383028,0.46228594990765387,1.0
2018-11-13,0.09943217976996391,0.5076361925483652,1.0
2018-11-14,0.10766950487428598,0.5100349632766108,1.0
2018-11-15,0.0,0.0,0.0
2018-11-16,0.06308358952799488,0.4239986573686433,0.5
2018-11-17,0.16460173160173158,0.4636883116883117,1.0
2018-11-18,0.0,0.0,0.0
2018-11-19,0.07401018808777429,0.422087736975668,0.0
2018-11-20,0.10235109717868339,0.33251542518783894,1.0
2018-11-21,-0.06,0.4,0.0
2018-11-22,0.10701028138528136,0.41288961038961036,1.0
2018-11-23,0.213233016983017,0.482270541958042,1.0
2018-11-24,0.1813598166539343,0.5198338426279602,1.0
2018-11-25,0.0,0.0,0.0
2018-11-26,0.11455392433653304,0.279206662902315,1.0
2018-11-27,0.10928997769906859,0.5159933248569611,1.0
2018-11-28,0.11031636713454893,0.3960000437273164,1.0
2018-11-29,0.0,0.0,0.0
2018-11-30,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2018-12-02,0.55,0.75,1.0
2018-12-03,0.2564863864205969,0.48699305080884037,1.0
2018-12-04,0.0,0.0,0.0
2018-12-05,0.0,0.0,0.0
2018-12-06,0.11577469685332593,0.4172468347065122,0.0
2018-12-07,0.0,0.0,0.0
2018-12-08,0.0,0.0,0.0
2018-12-09,0.0,0.0,0.0
2018-12-10,0.06223538418509145,0.37295019812319385,0.2
2018-12-11,0.12082339943146976,0.4362698414765178,0.3333333333333333
2018-12-12,0.08368365999595688,0.37566125940990513,1.0
2018-12-13,0.11526141698676914,0.40548015364916756,1.0
2018-12-14,0.0,0.0,0.0
2018-12-15,0.0,0.0,0.0
2018-12-16,0.12628588516746414,0.5338758828890408,1.0
2018-12-17,0.10498389207691533,0.3927942212825934,1.0
2018-12-18,0.13849511587205598,0.42745729387636255,1.0
2018-12-19,0.0,0.0,0.0
2018-12-20,0.1248096369018988,0.4314629696435252,0.3333333333333333
2018-12-21,0.07808080808080808,0.3651010101010101,1.0
2018-12-22,0.0,0.0,0.0
2018-12-23,0.0,0.0,0.0
2018-12-24,0.057121212121212114,0.5457575757575757,1.0
2018-12-25,0.0,0.0,0.0
2018-12-26,0.0,0.0,0.0
2018-12-27,0.0,0.0,0.0
2018-12-28,0.0,0.0,0.0
2018-12-29,0.0,0.0,0.0
2018-12-30,0.0,0.0,0.0
2018-12-31,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0
2019-01-02,0.18535594035594039,0.47942279942279925,1.0
2019-01-03,0.024999999999999998,0.3489583333333333,-1.0
2019-01-04,0.0,0.0,0.0
2019-01-05,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0
2019-01-07,0.11334066206393507,0.4026527156749196,1.0
2019-01-08,0.13935185185185184,0.37762345679012344,1.0
