Date,Open,High,Low,Close,Adj Close,Volume
2016-08-17,102.949997,103.099998,101.930000,102.800003,98.763565,124200
2016-08-18,102.480003,104.769997,101.070000,104.709999,100.598557,139400
2016-08-19,104.720001,106.180000,103.620003,106.059998,101.895554,165400
2016-08-22,105.949997,106.769997,105.029999,106.769997,102.577667,138700
2016-08-23,107.239998,108.029999,106.239998,107.500000,103.278999,179400
2016-08-24,107.230003,107.459999,106.830002,107.160004,102.952362,124300
2016-08-25,106.500000,107.330002,106.000000,106.339996,102.164558,219400
2016-08-26,106.269997,106.769997,105.059998,105.620003,101.472832,289900
2016-08-29,105.779999,106.470001,105.410004,106.320000,102.145340,171200
2016-08-30,105.940002,107.199997,105.760002,107.190002,102.981186,211200
2016-08-31,106.820000,107.279999,105.669998,106.169998,102.001228,149200
2016-09-01,105.910004,106.739998,105.250000,106.269997,102.097298,165000
2016-09-02,106.639999,107.000000,105.820000,106.339996,102.164558,133400
2016-09-06,106.110001,106.430000,105.080002,106.160004,101.991623,199800
2016-09-07,106.160004,106.970001,105.739998,106.919998,102.721786,244600
2016-09-08,106.440002,106.440002,104.669998,104.699997,100.588966,200300
2016-09-09,104.150002,104.160004,102.410004,102.410004,98.388878,227500
2016-09-12,102.279999,103.769997,101.889999,103.720001,99.647423,187200
2016-09-13,103.110001,103.940002,101.470001,101.980003,97.975761,204300
2016-09-14,102.250000,102.459999,101.019997,101.160004,97.187965,308200
2016-09-15,101.000000,103.029999,101.000000,102.300003,98.283188,324500
2016-09-16,102.570000,102.570000,100.730003,101.510002,97.524216,433800
2016-09-19,102.459999,104.750000,101.980003,104.129997,100.041328,237100
2016-09-20,104.639999,104.639999,103.540001,103.730003,99.657036,198200
2016-09-21,104.239998,105.339996,103.599998,105.330002,101.194221,194200
2016-09-22,105.639999,108.309998,105.639999,108.230003,103.980347,197200
2016-09-23,107.500000,107.760002,106.400002,106.680000,102.491203,173000
2016-09-26,106.269997,107.279999,105.820000,106.180000,102.010834,282200
2016-09-27,115.110001,117.980003,113.300003,116.620003,112.040932,794700
2016-09-28,117.190002,118.800003,115.150002,115.500000,110.964890,522600
2016-09-29,115.629997,115.690002,112.669998,113.449997,108.995384,474700
2016-09-30,114.379997,115.199997,112.900002,114.110001,109.629456,234900
2016-10-03,114.110001,114.300003,111.309998,111.639999,107.256462,322100
2016-10-04,111.430000,113.290001,111.430000,112.080002,107.679176,323800
2016-10-05,111.800003,113.669998,111.779999,112.010002,107.611923,305500
2016-10-06,111.580002,112.800003,110.400002,112.680000,108.255623,330800
2016-10-07,112.500000,113.139999,110.110001,110.709999,106.362976,263800
2016-10-10,110.709999,113.389999,110.669998,110.800003,106.449432,225300
